stdoutredi ok!
r - 1
r:0 - 1
r:0:c - 0.534660637
r:0:c:c - 0.606487513
r:0:c:c:c - 0.639656305
r:0:c:c:c:c - 0.647687137
r:0:c:c:c:c:c - 0.526904583
r:0:c:c:c:c:c:c - 0.513549387
r:0:c:c:c:c:c:b58 - 0.0164794866
r:0:c:c:c:c:c:b58:f - 0.326540858
r:0:c:c:c:c:c:b58:c - 0.492647678
r:0:c:c:c:c:c:b58:b216 - 0.110356733
r:0:c:c:c:c:c:b58:b216:f - 0.475313455
r:0:c:c:c:c:c:b58:b216:c - 0.398080677
r:0:c:c:c:c:c:b58:b216:b532 - 0.0173646249
r:0:c:c:c:c:c:b58:b216:b532:f - 0.515024602
r:0:c:c:c:c:c:b58:b216:b532:c - 0.354903042
r:0:c:c:c:c:c:b58:b216:b532:b1300 - 0.130072817
r:0:c:c:c:c:c:b58:b216:b532:b1300:f - 0.481854945
r:0:c:c:c:c:c:b58:b216:b532:b1300:c - 0.518145263
r:0:c:c:c:c:c:b58:b216:b1300 - 0.109240994
r:0:c:c:c:c:c:b58:b216:b1300:f - 0.73259294
r:0:c:c:c:c:c:b58:b216:b1300:c - 0.26740694
r:0:c:c:c:c:c:b58:b1300 - 0.070455268
r:0:c:c:c:c:c:b58:b1300:f - 0.847393394
r:0:c:c:c:c:c:b58:b1300:c - 0.152606279
r:0:c:c:c:c:c:b100 - 0.200955465
r:0:c:c:c:c:c:b100:f - 0.426325977
r:0:c:c:c:c:c:b100:c - 0.418104619
r:0:c:c:c:c:c:b100:b300 - 0.0736702532
r:0:c:c:c:c:c:b100:b300:f - 0.516174614
r:0:c:c:c:c:c:b100:b300:c - 0.352017343
r:0:c:c:c:c:c:b100:b300:b700 - 0.0158453658
r:0:c:c:c:c:c:b100:b300:b700:f - 0.528471529
r:0:c:c:c:c:c:b100:b300:b700:c - 0.31654498
r:0:c:c:c:c:c:b100:b300:b700:b1300 - 0.15498428
r:0:c:c:c:c:c:b100:b300:b700:b1300:f - 0.453785986
r:0:c:c:c:c:c:b100:b300:b700:b1300:c - 0.546213448
r:0:c:c:c:c:c:b100:b300:b1300 - 0.115963668
r:0:c:c:c:c:c:b100:b300:b1300:f - 0.676925242
r:0:c:c:c:c:c:b100:b300:b1300:c - 0.323073894
r:0:c:c:c:c:c:b100:b1300 - 0.081900008
r:0:c:c:c:c:c:b100:b1300:f - 0.825174212
r:0:c:c:c:c:c:b100:b1300:c - 0.174825564
r:0:c:c:c:c:c:b130 - 0.174366251
r:0:c:c:c:c:c:b130:f - 0.480301052
r:0:c:c:c:c:c:b130:c - 0.377701521
r:0:c:c:c:c:c:b130:b360 - 0.0508893207
r:0:c:c:c:c:c:b130:b360:f - 0.535993516
r:0:c:c:c:c:c:b130:b360:c - 0.330981523
r:0:c:c:c:c:c:b130:b360:b820 - 0.0207602866
r:0:c:c:c:c:c:b130:b360:b820:f - 0.540732622
