stdoutredi ok!
r - 1
r:0 - 1
r:0:c - 0.988135874
r:0:c:c - 0.196405903
r:0:c:c:c - 0.701042533
r:0:c:c:c:c - 0.412588656
r:0:c:c:c:c:c - 0.618683159
r:0:c:c:c:c:c:c - 0.503151357
r:0:c:c:c:c:c:b86 - 0.0288867783
r:0:c:c:c:c:c:b86:f - 0.601036668
r:0:c:c:c:c:c:b86:c - 0.276033759
r:0:c:c:c:c:c:b86:b451 - 0.122929886
r:0:c:c:c:c:c:b86:b451:f - 0.544956744
r:0:c:c:c:c:c:b86:b451:c - 0.455042511
r:0:c:c:c:c:c:b149 - 0.0753841698
r:0:c:c:c:c:c:b149:f - 0.644629359
r:0:c:c:c:c:c:b149:c - 0.231211513
r:0:c:c:c:c:c:b149:b451 - 0.124160446
r:0:c:c:c:c:c:b149:b451:f - 0.5101282
r:0:c:c:c:c:c:b149:b451:c - 0.489872724
r:0:c:c:c:c:c:b194 - 0.141899303
r:0:c:c:c:c:c:b194:f - 0.66814667
r:0:c:c:c:c:c:b194:c - 0.210885599
r:0:c:c:c:c:c:b194:b451 - 0.120967276
r:0:c:c:c:c:c:b194:b451:f - 0.486958623
r:0:c:c:c:c:c:b194:b451:c - 0.513041615
r:0:c:c:c:c:c:b451 - 0.250678569
r:0:c:c:c:c:c:b451:f - 0.793294132
r:0:c:c:c:c:c:b451:c - 0.206705973
r:0:c:c:c:c:b86 - 0.132927701
r:0:c:c:c:c:b86:f - 0.236081332
r:0:c:c:c:c:b86:c - 0.454456419
r:0:c:c:c:c:b86:b451 - 0.309461564
r:0:c:c:c:c:b86:b451:f - 0.564711094
r:0:c:c:c:c:b86:b451:c - 0.435288072
r:0:c:c:c:c:b149 - 0.0800842643
r:0:c:c:c:c:b149:f - 0.348580539
r:0:c:c:c:c:b149:c - 0.390453488
r:0:c:c:c:c:b149:b451 - 0.260964662
r:0:c:c:c:c:b149:b451:f - 0.52422297
r:0:c:c:c:c:b149:b451:c - 0.475777894
r:0:c:c:c:c:b194 - 0.0817863643
r:0:c:c:c:c:b194:f - 0.411117435
r:0:c:c:c:c:b194:c - 0.355212629
r:0:c:c:c:c:b194:b451 - 0.233669952
r:0:c:c:c:c:b194:b451:f - 0.498132825
r:0:c:c:c:c:b194:b451:c - 0.501867652
r:0:c:c:c:c:b451 - 0.0865188614
r:0:c:c:c:c:b451:f - 0.617165804
r:0:c:c:c:c:b451:c - 0.382834196
r:0:c:c:c:b86 - 0.383733004
r:0:c:c:c:b86:f - 0.46981737
r:0:c:c:c:b86:c - 0.380052686
r:0:c:c:c:b86:c:c - 0.918321848
r:0:c:c:c:b86:c:c:c - 0.393511593
r:0:c:c:c:b86:c:c:b222 - 0.0139829814
r:0:c:c:c:b86:c:c:b222:f - 0.272834152
r:0:c:c:c:b86:c:c:b222:c - 0.478067547
r:0:c:c:c:b86:c:c:b222:b451 - 0.249097154
r:0:c:c:c:b86:c:c:b222:b451:f - 0.398317456
