stdoutredi ok!
r - 1
r:0 - 1
r:0:c - 0.995540798
r:0:c:c - 0.353817701
r:0:c:c:c - 0.642264485
r:0:c:c:c:c - 0.658133149
r:0:c:c:c:c:c - 0.547060013
r:0:c:c:c:c:c:c - 0.495602131
r:0:c:c:c:c:c:b13 - 0.0258576106
r:0:c:c:c:c:c:b13:f - 0.312358022
r:0:c:c:c:c:c:b13:c - 0.478276432
r:0:c:c:c:c:c:b13:b55 - 0.209364444
r:0:c:c:c:c:c:b13:b55:f - 0.514802158
r:0:c:c:c:c:c:b13:b55:c - 0.477937877
r:0:c:c:c:c:c:b13:b55:b147 - 0.00398972118
r:0:c:c:c:c:c:b13:b55:b147:f - 0.51745373
r:0:c:c:c:c:c:b13:b55:b147:c - 0.373400658
r:0:c:c:c:c:c:b13:b55:b147:b350 - 0.026129622
r:0:c:c:c:c:c:b13:b55:b147:b350:f - 0.579750299
r:0:c:c:c:c:c:b13:b55:b147:b350:c - 0.20355925
r:0:c:c:c:c:c:b13:b55:b147:b350:b578 - 0.216691867
r:0:c:c:c:c:c:b13:b55:b147:b350:b578:f - 0.224858597
r:0:c:c:c:c:c:b13:b55:b147:b350:b578:c - 0.775141418
r:0:c:c:c:c:c:b13:b55:b147:b578 - 0.0830155462
r:0:c:c:c:c:c:b13:b55:b147:b578:f - 0.660559654
r:0:c:c:c:c:c:b13:b55:b147:b578:c - 0.339440793
r:0:c:c:c:c:c:b13:b55:b578 - 0.00326924678
r:0:c:c:c:c:c:b13:b55:b578:f - 0.829051971
r:0:c:c:c:c:c:b13:b55:b578:c - 0.170946538
r:0:c:c:c:c:c:b22 - 0.196311429
r:0:c:c:c:c:c:b22:f - 0.415642619
r:0:c:c:c:c:c:b22:c - 0.409102648
r:0:c:c:c:c:c:b22:b75 - 0.175254449
r:0:c:c:c:c:c:b22:b75:f - 0.557020128
r:0:c:c:c:c:c:b22:b75:c - 0.414541811
r:0:c:c:c:c:c:b22:b75:b191 - 0.0130236913
r:0:c:c:c:c:c:b22:b75:b191:f - 0.56636852
r:0:c:c:c:c:c:b22:b75:b191:c - 0.316978931
r:0:c:c:c:c:c:b22:b75:b191:b578 - 0.116651721
r:0:c:c:c:c:c:b22:b75:b191:b578:f - 0.59627074
r:0:c:c:c:c:c:b22:b75:b191:b578:c - 0.40372932
r:0:c:c:c:c:c:b22:b75:b578 - 0.015414915
r:0:c:c:c:c:c:b22:b75:b578:f - 0.806994021
r:0:c:c:c:c:c:b22:b75:b578:c - 0.193005905
r:0:c:c:c:c:c:b31 - 0.155191168
r:0:c:c:c:c:c:b31:f - 0.491603494
r:0:c:c:c:c:c:b31:c - 0.369491398
r:0:c:c:c:c:c:b31:b95 - 0.138903722
r:0:c:c:c:c:c:b31:b95:f - 0.583733678
r:0:c:c:c:c:c:b31:b95:c - 0.360618144
r:0:c:c:c:c:c:b31:b95:b235 - 0.0227027182
