stdoutredi ok!
r - 1
r:0 - 1
r:0:c - 0.97609067
r:0:c:c - 0.442515582
r:0:c:c:c - 0.662905276
r:0:c:c:c:c - 0.540882766
r:0:c:c:c:c:c - 0.510670602
r:0:c:c:c:c:c:c - 0.541723311
r:0:c:c:c:c:c:b174 - 0.015612985
r:0:c:c:c:c:c:b174:f - 0.402699739
r:0:c:c:c:c:c:b174:c - 0.41812712
r:0:c:c:c:c:c:b174:b411 - 0.00534486631
r:0:c:c:c:c:c:b174:b411:f - 0.315183729
r:0:c:c:c:c:c:b174:b411:c - 0.472154856
r:0:c:c:c:c:c:b174:b411:b1100 - 0.21266073
r:0:c:c:c:c:c:b174:b411:b1100:f - 0.439957142
r:0:c:c:c:c:c:b174:b411:b1100:c - 0.560042143
r:0:c:c:c:c:c:b174:b1100 - 0.173828855
r:0:c:c:c:c:c:b174:b1100:f - 0.60648942
r:0:c:c:c:c:c:b174:b1100:c - 0.393511832
r:0:c:c:c:c:c:b300 - 0.0752728358
r:0:c:c:c:c:c:b300:f - 0.468347758
r:0:c:c:c:c:c:b300:c - 0.348735452
r:0:c:c:c:c:c:b300:b600 - 0.00382770365
r:0:c:c:c:c:c:b300:b600:f - 0.36218071
r:0:c:c:c:c:c:b300:b600:c - 0.429395437
r:0:c:c:c:c:c:b300:b600:b1100 - 0.208423331
r:0:c:c:c:c:c:b300:b600:b1100:f - 0.332050204
r:0:c:c:c:c:c:b300:b600:b1100:c - 0.66795063
r:0:c:c:c:c:c:b300:b1100 - 0.179089531
r:0:c:c:c:c:c:b300:b1100:f - 0.570060849
r:0:c:c:c:c:c:b300:b1100:c - 0.429938048
r:0:c:c:c:c:c:b390 - 0.142103493
r:0:c:c:c:c:c:b390:f - 0.505226135
r:0:c:c:c:c:c:b390:c - 0.315230042
r:0:c:c:c:c:c:b390:b1100 - 0.17954357
r:0:c:c:c:c:c:b390:b1100:f - 0.546263337
r:0:c:c:c:c:c:b390:b1100:c - 0.453736305
r:0:c:c:c:c:c:b600 - 0.138343424
r:0:c:c:c:c:c:b600:f - 0.602799475
r:0:c:c:c:c:c:b600:c - 0.251812458
r:0:c:c:c:c:c:b600:b1100 - 0.145388737
r:0:c:c:c:c:c:b600:b1100:f - 0.492371708
r:0:c:c:c:c:c:b600:b1100:c - 0.507627606
r:0:c:c:c:c:c:b1100 - 0.0869435519
r:0:c:c:c:c:c:b1100:f - 0.753857493
r:0:c:c:c:c:c:b1100:c - 0.246143401
r:0:c:c:c:c:b174 - 0.261722565
r:0:c:c:c:c:b174:f - 0.267987669
r:0:c:c:c:c:b174:c - 0.475154936
r:0:c:c:c:c:b174:b411 - 0.00829846691
r:0:c:c:c:c:b174:b411:f - 0.333164811
r:0:c:c:c:c:b174:b411:c - 0.441699833
r:0:c:c:c:c:b174:b411:b1100 - 0.225134358
r:0:c:c:c:c:b174:b411:b1100:f - 0.438147515
r:0:c:c:c:c:b174:b411:b1100:c - 0.561853647
