stdoutredi ok!
r - 1
r:0 - 1
r:0:c - 0.47863856
r:0:c:c - 0.568313479
r:0:c:c:c - 0.626398742
r:0:c:c:c:c - 0.635295451
r:0:c:c:c:c:c - 0.519084334
r:0:c:c:c:c:c:c - 0.531172633
r:0:c:c:c:c:c:b38 - 0.0265211631
r:0:c:c:c:c:c:b38:f - 0.327480733
r:0:c:c:c:c:c:b38:c - 0.495588779
r:0:c:c:c:c:c:b38:b121 - 0.0710956305
r:0:c:c:c:c:c:b38:b121:f - 0.43610093
r:0:c:c:c:c:c:b38:b121:c - 0.391610533
r:0:c:c:c:c:c:b38:b121:b271 - 0.019965848
r:0:c:c:c:c:c:b38:b121:b271:f - 0.456867546
r:0:c:c:c:c:c:b38:b121:b271:c - 0.363217056
r:0:c:c:c:c:c:b38:b121:b271:b534 - 0.179914922
r:0:c:c:c:c:c:b38:b121:b271:b534:f - 0.330271512
r:0:c:c:c:c:c:b38:b121:b271:b534:c - 0.669728935
r:0:c:c:c:c:c:b38:b121:b534 - 0.152321771
r:0:c:c:c:c:c:b38:b121:b534:f - 0.636455119
r:0:c:c:c:c:c:b38:b121:b534:c - 0.363545239
r:0:c:c:c:c:c:b38:b534 - 0.105835058
r:0:c:c:c:c:c:b38:b534:f - 0.77618742
r:0:c:c:c:c:c:b38:b534:c - 0.223811582
r:0:c:c:c:c:c:b66 - 0.181540936
r:0:c:c:c:c:c:b66:f - 0.427776277
r:0:c:c:c:c:c:b66:c - 0.422733754
r:0:c:c:c:c:c:b66:b172 - 0.0257277377
r:0:c:c:c:c:c:b66:b172:f - 0.475884914
r:0:c:c:c:c:c:b66:b172:c - 0.350467384
r:0:c:c:c:c:c:b66:b172:b534 - 0.173647478
r:0:c:c:c:c:c:b66:b172:b534:f - 0.572709978
r:0:c:c:c:c:c:b66:b172:b534:c - 0.427289307
r:0:c:c:c:c:c:b66:b534 - 0.123762101
r:0:c:c:c:c:c:b66:b534:f - 0.745263457
r:0:c:c:c:c:c:b66:b534:c - 0.254735798
r:0:c:c:c:c:c:b86 - 0.163858637
r:0:c:c:c:c:c:b86:f - 0.482612491
r:0:c:c:c:c:c:b86:c - 0.372359395
r:0:c:c:c:c:c:b86:b208 - 0.0109408852
r:0:c:c:c:c:c:b86:b208:f - 0.492512167
r:0:c:c:c:c:c:b86:b208:c - 0.342126131
r:0:c:c:c:c:c:b86:b208:b534 - 0.165360883
r:0:c:c:c:c:c:b86:b208:b534:f - 0.529654026
r:0:c:c:c:c:c:b86:b208:b534:c - 0.470345676
r:0:c:c:c:c:c:b86:b534 - 0.134087503
r:0:c:c:c:c:c:b86:b534:f - 0.724753678
r:0:c:c:c:c:c:b86:b534:c - 0.27524516
r:0:c:c:c:c:c:b132 - 0.0838910714
r:0:c:c:c:c:c:b132:f - 0.58240658
r:0:c:c:c:c:c:b132:c - 0.306406856
r:0:c:c:c:c:c:b132:b290 - 0.00627118256
